#72469 DNR Denver Observations at 12Z 09 Feb 2019
#   hPa  ,    m   ,    C   ,    C   ,    %   ,  g/kg   ,  deg   , knot  ,    K   ,    K   ,    K 
   PRES  ,  HGHT  ,  TEMP  ,  DWPT  ,  RELH  ,  MIXR   , DRCT   , SKNT  ,  THTA  ,  THTE  ,  THTV
   97.3  , 16154  , -57.9  , -86.3  ,     2  ,  0.00   ,  260   ,   88  , 418.9  , 418.9  , 418.9
   89.1  , 16711  , -56.5  , -86.5  ,     1  ,  0.00   ,  263   ,   81  , 432.3  , 432.3  , 432.3
   84.2  , 17069  , -58.1  , -86.7  ,     1  ,  0.00   ,  265   ,   76  , 436.2  , 436.2  , 436.2
   78.8  , 17485  , -59.9  , -86.9  ,     2  ,  0.00   ,  265   ,   59  , 440.7  , 440.7  , 440.7
   74.0  , 17884  , -54.1  , -86.1  ,     1  ,  0.00   ,  265   ,   42  , 460.9  , 460.9  , 460.9
   70.0  , 18240  , -55.5  , -86.5  ,     1  ,  0.00   ,  265   ,   28  , 465.3  , 465.3  , 465.3
   69.5  , 18288  , -55.9  , -86.5  ,     1  ,  0.00   ,  265   ,   21  , 465.6  , 465.6  , 465.6
   63.0  , 18898  , -60.5  , -86.9  ,     2  ,  0.00   ,  295   ,   18  , 468.7  , 468.7  , 468.7
   59.9  , 19202  , -62.8  , -87.0  ,     2  ,  0.00   ,  290   ,   22  , 470.1  , 470.1  , 470.1
   57.1  , 19507  , -65.1  , -87.2  ,     3  ,  0.00   ,  250   ,   30  , 471.6  , 471.6  , 471.6
   55.6  , 19668  , -66.3  , -87.3  ,     4  ,  0.00   ,  250   ,   35  , 472.3  , 472.3  , 472.3
   54.0  , 19846  , -62.5  , -87.5  ,     2  ,  0.00   ,  251   ,   41  , 485.0  , 485.0  , 485.0
   52.1  , 20067  , -61.9  , -86.9  ,     2  ,  0.00   ,  253   ,   47  , 491.4  , 491.4  , 491.4
   50.0  , 20320  , -62.9  , -86.9  ,     3  ,  0.00   ,  255   ,   55  , 494.8  , 494.9  , 494.8
   49.2  , 20422  , -62.9  , -86.9  ,     3  ,  0.00   ,  255   ,   56  , 497.3  , 497.3  , 497.3
   46.8  , 20726  , -62.7  , -86.9  ,     3  ,  0.00   ,  265   ,   50  , 504.7  , 504.8  , 504.7
   42.4  , 21336  , -62.4  , -86.9  ,     2  ,  0.00   ,  245   ,   42  , 519.9  , 520.0  , 519.9
   35.6  , 22411  , -61.9  , -86.9  ,     2  ,  0.01   ,  253   ,   43  , 547.9  , 547.9  , 547.9
   30.0  , 23460  , -64.5  , -87.5  ,     3  ,  0.01   ,  260   ,   43  , 568.2  , 568.3  , 568.2
   29.2  , 23625  , -65.1  , -87.1  ,     3  ,  0.01   ,  263   ,   45  , 571.0  , 571.0  , 571.0
   28.2  , 23840  , -60.3  , -87.3  ,     2  ,  0.01   ,  266   ,   47  , 590.0  , 590.1  , 590.0
   27.1  , 24079  , -59.2  , -87.2  ,     2  ,  0.01   ,  270   ,   50  , 599.5  , 599.5  , 599.5
   25.2  , 24548  , -57.1  , -87.1  ,     1  ,  0.01   ,  262   ,   38  , 618.4  , 618.5  , 618.4
   21.7  , 25484  , -62.5  , -87.5  ,     2  ,  0.01   ,  245   ,   15  , 629.3  , 629.4  , 629.3
   20.0  , 25990  , -61.1  , -87.1  ,     2  ,  0.01   ,  270   ,   28  , 648.4  , 648.5  , 648.4
   18.5  , 26473  , -61.5  , -87.5  ,     2  ,  0.01   ,  267   ,   30  , 661.8  , 661.9  , 661.8
   17.1  , 26967  , -56.5  , -87.5  ,     1  ,  0.01   ,  263   ,   31  , 692.8  , 692.9  , 692.8
   15.9  , 27432  , -58.0  , -87.4  ,     1  ,  0.01   ,  260   ,   33  , 702.7  , 702.8  , 702.7
   14.9  , 27834  , -59.3  , -87.3  ,     2  ,  0.01   ,        ,       , 711.3  , 711.5  , 711.3
   13.5  , 28460  , -53.7  , -86.7  ,     1  ,  0.02   ,        ,       , 750.8  , 751.0  , 750.8
   11.2  , 29662  , -52.9  , -86.9  ,     1  ,  0.02   ,        ,       , 794.8  , 795.1  , 794.9
   10.8  , 29896  , -54.3  , -87.3  ,     1  ,  0.02   ,        ,       , 798.0  , 798.3  , 798.0
